"label","area","perimeter","axis_major_length","sample","genotype","plant_num","side","rep_num","time"
5,313.178125,65.9733585439879,21.2108874629104,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
6,206.708125,60.6809703885628,24.6294285296982,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
7,199.525625,54.4828733497065,19.3306053271153,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
8,225.40375,61.5002353546185,23.9111456008551,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
9,240.825,60.6945003206742,22.7256539495329,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
10,238.29,65.0541197284454,25.7330323529229,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
11,200.89875,56.3540151263927,21.6830512626456,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
1,253.9225,62.5194480196478,22.0235031934762,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
2,299.13,67.8445003206741,25.6585632358549,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
3,249.275,62.1848809129029,23.6505450138436,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
4,247.1625,59.190589796334,20.350554091289,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
5,378.1375,74.2656420973604,25.8445553935657,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
6,201.638125,54.4175450585041,18.5043302533827,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
7,325.853125,68.4483062429616,24.0265036067299,"RIC P2 abaxial_1","RIC","P2","abaxial","1","week3"
1,299.975,67.5521644662754,24.8526603538842,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
2,276.94875,61.8367838740466,21.0578964428938,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
3,198.891875,56.5905897963341,21.1674193034996,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
4,178.92875,51.9155374953077,18.8081561162978,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
5,245.895,65.6579256507328,26.5521046204971,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
6,254.55625,63.1367838740466,24.6667155511049,"RIC P2 abaxial_2","RIC","P2","abaxial","2","week3"
2,531.505,88.5465078838705,30.0316494980463,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
3,385.10875,82.0329779517592,33.616430192256,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
4,256.88,64.4367838740466,25.0590349227953,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
5,407.92375,76.7867838740466,25.8828260783429,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
6,382.679375,72.8541197284454,24.3061761060815,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
7,492.42375,84.265746699413,29.1789847419663,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
8,327.015,69.6041197284454,25.1011437225627,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
9,253.71125,58.652112165249,18.1934487960527,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
10,406.128125,77.5156420973604,27.308668140681,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
11,530.765625,87.8829779517592,29.9819082767078,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
12,265.858125,61.0290674274191,20.193050278066,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
13,467.91875,82.427269068328,29.0767209203118,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
14,247.479375,63.1367838740466,23.3345910900056,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
15,363.7725,74.8829779517592,26.2580517933911,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
16,408.34625,78.527269068328,29.3154963663375,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
17,98.4425,37.8385822331377,13.9079297951587,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
18,424.295625,83.8156943983867,30.754257170272,"RIC P2 adaxial_1","RIC","P2","adaxial","1","week3"
1,489.360625,83.4906943983867,27.8190834651862,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
2,392.71375,75.5791720294717,27.5052806046663,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
3,381.72875,72.7099332139292,23.4407240088773,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
4,526.0125,88.8810749906155,30.1920832392138,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
5,342.85875,70.8579256507328,25.8086154358347,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
6,377.186875,74.8367838740466,26.4524887923652,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
7,252.549375,62.0271644662754,23.2797751648184,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
8,284.659375,65.4213509807915,23.0824255027564,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
9,209.243125,57.0502092041053,21.7942707480223,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
10,448.378125,79.8599332139292,26.7528120335381,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
11,306.418125,68.9079256507328,25.1833119442027,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
12,316.4525,67.7194480196478,24.1845898252358,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
13,326.486875,75.5791720294717,29.6147465083968,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
14,214.84125,60.1329256507328,22.7584243677942,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
15,375.18,72.5848809129029,24.3421560323189,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
16,359.230625,71.2848809129029,23.8670090031093,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
17,351.73125,71.0945003206742,24.5500441777429,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
18,321.205625,68.9867838740466,21.9253462379985,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
19,258.253125,62.6771644662754,23.5730356759576,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
20,338.4225,78.8156420973604,32.2573387589349,"RIC P2 adaxial_2","RIC","P2","adaxial","2","week3"
1,289.62375,72.0790674274191,29.0521977607103,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
2,321.31125,68.2925712090173,23.9455893662669,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
3,417.64125,77.4367838740466,26.3234150352247,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
4,235.438125,58.6194480196478,20.8883130164694,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
5,264.0625,65.2445003206741,24.5806104693858,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
6,304.516875,65.8945003206741,22.2981826564615,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
7,261.210625,61.9483062429616,21.0776880207379,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
8,415.52875,81.6637652867298,31.264041172114,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
9,380.03875,73.215746699413,22.7573101627406,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
10,384.8975,78.3695526217005,29.6248821147997,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
11,258.253125,64.9752615051316,25.3707665699616,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
12,186.11125,52.7694480196478,19.013714169852,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
13,161.500625,48.4424927574778,17.3195050311813,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
14,425.66875,81.6522167673017,30.291160369662,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
15,176.710625,50.4386868351903,17.7314250347871,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
16,392.185625,77.227269068328,28.4205187397753,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
17,426.51375,83.4580302527855,31.5108769694523,"RIC P3 abaxial_1","RIC","P3","abaxial","1","week3"
1,413.41625,80.4310749906155,29.9416569179087,"RIC P3 abaxial_2","RIC","P3","abaxial","2","week3"
